parameter,mu_star,mu_star_conf,sigma,mu,era,rank
infiltration,27.1534,2.5398,4.5259,27.1534,1,1
WWR,22.4220,2.8889,5.0229,22.4220,1,2
wall_U,19.8725,3.1863,5.3412,19.8725,1,3
window_U,14.9913,3.2144,5.4279,14.9913,1,4
roof_U,12.0996,2.4510,4.0756,12.0996,1,5
heating_setpoint,9.6824,1.6759,2.7880,9.6824,1,6
cooling_setpoint,7.2639,2.9377,4.8688,-7.1098,1,7
equipment_power,5.5445,1.6849,5.4415,3.4335,1,8
occupant_density,5.1062,2.8713,6.3229,-2.8155,1,9
lighting_power,4.4297,1.3488,5.1973,0.0064,1,10
